ch_name,Condition,Coef.,Std.Err.,z,P>|z|,[0.025,0.975],Chroma,Significant,group
S7_D5 hbo,Neutral,-1.770642275036931,8.263499689160428e-07,-2.142726861065361,0.03213503718351933,-3.3902584527381685e-06,-1.5102609733569358e-07,hbo,True,direct
S7_D7 hbo,Neutral,-3.9726796178284594,8.263499689160428e-07,-4.807502592442264,1.5282743786940218e-06,-5.592295795529697e-06,-2.3530634401272217e-06,hbo,True,direct
S8_D6 hbo,Neutral,-4.0116859445581925,8.263499689160428e-07,-4.854705748728334,1.2056563331289534e-06,-5.6313021222594306e-06,-2.3920697668569553e-06,hbo,True,direct
S8_D7 hbo,Inflam,2.635860502386924,8.263499689160429e-07,3.189762935242184,0.0014238954436105204,1.016244324685687e-06,4.255476680088162e-06,hbo,True,direct
S8_D7 hbo,Neutral,-3.2664784074068867,8.263499689160428e-07,-3.952899534432924,7.720986026982726e-05,-4.8860945851081244e-06,-1.6468622297056493e-06,hbo,True,direct
S1_D1 hbr,Inflam,0.8939892546028099,3.771857290812141e-07,2.370156624908573,0.01778055125488211,1.5471881012114797e-07,1.6332596990844718e-06,hbr,True,direct
S1_D2 hbr,Control,0.9752352338492253,3.7718572908121397e-07,2.5855570841049555,0.009722177247464952,2.359647893675636e-07,1.714505678330887e-06,hbr,True,direct
S1_D2 hbr,Neutral,1.0913434542916687,3.77185729081214e-07,2.893384797325366,0.003811140704550722,3.5207300981000703e-07,1.8306138987733304e-06,hbr,True,direct
S2_D1 hbr,Control,0.9289377290222718,3.7718572908121423e-07,2.462812501642278,0.013785198386623005,1.8966728454060964e-07,1.6682081735039339e-06,hbr,True,direct
S2_D3 hbr,Control,2.2169255116526423,3.771857290812141e-07,5.87754345068369,4.1639943892926424e-09,1.4776550671709806e-06,2.9561959561343046e-06,hbr,True,direct
S2_D3 hbr,Inflam,1.3218831692118143,3.7718572908121423e-07,3.5045948647945564,0.0004573026103209975,5.826127247301521e-07,2.061153613693476e-06,hbr,True,direct
S4_D2 hbr,Control,0.884053301891989,3.7718572908121423e-07,2.343814290231638,0.019087672837816358,1.4478285741032694e-07,1.6233237463736512e-06,hbr,True,direct
S4_D2 hbr,Inflam,4.624513121135474,3.7718572908121407e-07,12.260572881164714,1.4745372787092156e-34,3.885242676653813e-06,5.363783565617136e-06,hbr,True,direct
S4_D2 hbr,Neutral,3.7815913783973993,3.77185729081214e-07,10.025807147075714,1.1739643180517128e-23,3.0423209339157376e-06,4.520861822879061e-06,hbr,True,direct
S4_D4 hbr,Control,1.3251458087518704,3.771857290812141e-07,3.5132448196801884,0.0004426693934993015,5.858753642702086e-07,2.0644162532335326e-06,hbr,True,direct
S6_D4 hbr,Control,0.9335924344697571,3.771857290812142e-07,2.4751531208349076,0.01331790635607458,1.943219899880952e-07,1.672862878951419e-06,hbr,True,direct
S6_D4 hbr,Inflam,-0.8483948749520337,3.7718572908121423e-07,-2.249276177597272,0.024494930483754722,-1.5876653194336958e-06,-1.0912443047037163e-07,hbr,True,direct
S6_D6 hbr,Control,0.9483809093884509,3.77185729081214e-07,2.514360529224184,0.01192484589560543,2.091104649067892e-07,1.6876513538701125e-06,hbr,True,direct
S6_D6 hbr,Neutral,1.5506625809075087,3.7718572908121407e-07,4.111137992110053,3.937137972555449e-05,8.11392136425847e-07,2.2899330253891707e-06,hbr,True,direct
S7_D5 hbr,Control,1.050213938734117,3.771857290812141e-07,2.784341659193551,0.0053636502335841834,3.1094349425245507e-07,1.7894843832157789e-06,hbr,True,direct
S7_D7 hbr,Control,0.8105741621963656,3.77185729081214e-07,2.1490053830266636,0.03163397323409176,7.130371771470395e-08,1.5498446066780272e-06,hbr,True,direct
S7_D7 hbr,Neutral,2.180012958346439,3.771857290812141e-07,5.779680380953775,7.484267239644845e-09,1.4407425138647772e-06,2.9192834028281008e-06,hbr,True,direct
S8_D6 hbr,Neutral,2.4786865640561007,3.771857290812141e-07,6.571527958106813,4.9801532661763746e-11,1.7394161195744388e-06,3.217957008537763e-06,hbr,True,direct
S8_D7 hbr,Inflam,-1.1727063327996268,3.771857290812141e-07,-3.1090951814540264,0.0018766125266999607,-1.9119767772812886e-06,-4.3343588831796485e-07,hbr,True,direct
S8_D7 hbr,Neutral,1.4607702722278004,3.771857290812141e-07,3.872814265232376,0.00010758581617337682,7.214998277461385e-07,2.200040716709462e-06,hbr,True,direct
