,df,mse,p_value,se,t,theta,ID,ch_name,Chroma,Condition
32,22.384615384615383,6.734188957239245e-11,0.45068827843932796,1.6790789158853714e-06,-0.3429867841951356,3.976306573995976e-07,7.0,S8_D6 hbo,hbo,Neutral
33,22.384615384615383,6.734188957239245e-11,0.33449868983669506,1.6819216384585858e-06,-0.2358472263360703,6.487541314749191e-08,7.0,S8_D6 hbo,hbo,Concern
34,22.384615384615383,1.331613745978075e-11,0.2624017456013745,1.0296465403268744e-06,-0.5633408629985586,-1.568706772533931e-08,7.0,S8_D7 hbo,hbo,Neutral
35,22.384615384615383,1.331613745978075e-11,0.13708657856318335,1.0295375106365196e-06,-1.2475575156927636,-8.921809655147931e-07,7.0,S8_D7 hbo,hbo,Concern
36,22.384615384615383,9.18234798676303e-13,0.4708851592110533,2.908415444081498e-07,0.203423640077733,3.816326043366447e-08,7.0,S1_D1 hbr,hbr,Neutral
37,22.384615384615383,9.18234798676303e-13,0.39589347273978337,2.9078389136928423e-07,0.7181018771521124,1.8810353444755194e-07,7.0,S1_D1 hbr,hbr,Concern
38,22.384615384615383,5.7318990467292544e-12,0.4504012468966063,2.821839272377339e-07,0.6585380674338464,1.9244953669808733e-07,7.0,S1_D2 hbr,hbr,Neutral
39,22.384615384615383,5.7318990467292544e-12,0.39795090711221687,2.8274426860973135e-07,0.2841866967637555,2.2876498549388108e-07,7.0,S1_D2 hbr,hbr,Concern
40,22.384615384615383,1.5672598442149024e-12,0.4713371900018092,3.7334258737141304e-07,0.9371167202573526,2.739216679337945e-07,7.0,S2_D1 hbr,hbr,Neutral
41,22.384615384615383,1.5672598442149024e-12,0.27664692157168463,3.732672378226181e-07,0.9388410567379457,4.393852105503079e-07,7.0,S2_D1 hbr,hbr,Concern
42,22.384615384615383,1.117389780915934e-12,0.37295446655211445,3.2376127121588767e-07,1.2190913136208603,3.306711964857324e-07,7.0,S2_D3 hbr,hbr,Neutral
43,22.384615384615383,1.117389780915934e-12,0.3399496488228878,3.237292347977127e-07,0.4439258447350599,1.824503629930528e-07,7.0,S2_D3 hbr,hbr,Concern
44,22.384615384615383,1.4247570390315295e-12,0.2619787826343599,3.762433027368052e-07,-0.1303703616380988,-1.6902481527511204e-08,7.0,S3_D3 hbr,hbr,Neutral
45,22.384615384615383,1.4247570390315295e-12,0.24405319496034777,3.7621535429501183e-07,-0.031262815045250636,1.4144000408074857e-07,7.0,S3_D3 hbr,hbr,Concern
